[2025-06-19T01:27:07Z] -----	 Migration started at 2025-06-19T01:27:07Z for VM alm-smartm-vm.alm.mentorg.com -----
[2025-06-19T01:27:07Z] Running in pod
[2025-06-19T01:27:10Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:11Z] Connected to OpenStack
[2025-06-19T01:27:12Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:12Z] Creating volumes in OpenStack
[2025-06-19T02:36:07Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:08Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:10Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:12Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:14Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:15Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:17Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:19Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:21Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:23Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:46Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:48Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:50Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:52Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:54Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:56Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:57Z] Copying disk 0, Completed: 15%
[2025-06-19T02:36:59Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:01Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:03Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:05Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:07Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:09Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:10Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:12Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:14Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:15Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:17Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:19Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:21Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:23Z] Copying disk 0, Completed: 15%
[2025-06-19T02:37:25Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:08Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:10Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:11Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:13Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:14Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:16Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:18Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:20Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:22Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:24Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:25Z] Copying disk 0, Completed: 15%
[2025-06-19T02:38:27Z] Copying disk 0, Completed: 15%
[2025-06-19T02:39:52Z] Copying disk 0, Completed: 16%
[2025-06-19T02:39:54Z] Copying disk 0, Completed: 16%
[2025-06-19T02:39:56Z] Copying disk 0, Completed: 16%
[2025-06-19T02:39:57Z] Copying disk 0, Completed: 16%
[2025-06-19T02:39:59Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:01Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:03Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:05Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:06Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:08Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:10Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:12Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:55Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:57Z] Copying disk 0, Completed: 16%
[2025-06-19T02:40:58Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:00Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:02Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:04Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:05Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:07Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:09Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:11Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:12Z] Copying disk 0, Completed: 16%
[2025-06-19T02:41:56Z] Copying disk 0, Completed: 16%
