[2025-06-19T01:27:13Z] -----	 Migration started at 2025-06-19T01:27:13Z for VM bd78.alm.mentorg.com -----
[2025-06-19T01:27:13Z] Running in pod
[2025-06-19T01:27:17Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:18Z] Connected to OpenStack
[2025-06-19T01:27:19Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:19Z] Creating volumes in OpenStack
[2025-06-19T02:32:43Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:44Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:45Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:46Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:48Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:49Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:50Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:52Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:53Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:54Z] Copying disk 1, Completed: 4%
[2025-06-19T02:32:56Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:39Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:40Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:42Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:43Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:44Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:46Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:47Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:48Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:49Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:50Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:51Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:52Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:53Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:54Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:55Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:56Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:57Z] Copying disk 1, Completed: 4%
[2025-06-19T02:33:58Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:04Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:05Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:06Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:07Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:09Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:10Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:11Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:12Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:13Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:14Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:15Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:16Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:17Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:18Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:19Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:21Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:22Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:23Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:24Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:45Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:46Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:47Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:48Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:49Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:50Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:51Z] Copying disk 1, Completed: 4%
[2025-06-19T02:36:52Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:53Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:54Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:55Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:56Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:57Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:58Z] Copying disk 1, Completed: 5%
[2025-06-19T02:36:59Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:00Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:01Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:02Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:03Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:04Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:05Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:06Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:07Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:08Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:09Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:10Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:11Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:12Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:13Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:14Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:15Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:16Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:17Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:18Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:19Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:20Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:21Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:22Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:23Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:24Z] Copying disk 1, Completed: 5%
[2025-06-19T02:37:25Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:08Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:09Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:10Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:11Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:12Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:13Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:14Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:15Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:16Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:17Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:18Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:19Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:20Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:22Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:22Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:23Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:24Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:25Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:26Z] Copying disk 1, Completed: 5%
[2025-06-19T02:38:28Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:52Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:53Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:54Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:55Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:56Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:57Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:58Z] Copying disk 1, Completed: 5%
[2025-06-19T02:39:59Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:00Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:01Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:02Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:03Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:04Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:05Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:06Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:07Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:08Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:09Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:10Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:11Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:54Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:55Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:56Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:57Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:58Z] Copying disk 1, Completed: 5%
[2025-06-19T02:40:59Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:00Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:01Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:02Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:03Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:04Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:05Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:06Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:07Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:08Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:09Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:10Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:11Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:12Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:13Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:56Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:57Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:58Z] Copying disk 1, Completed: 5%
[2025-06-19T02:41:59Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:00Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:01Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:02Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:03Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:04Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:05Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:06Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:07Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:08Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:09Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:10Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:11Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:12Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:13Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:14Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:15Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:16Z] Copying disk 1, Completed: 5%
[2025-06-19T02:42:38Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:39Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:40Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:40Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:41Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:42Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:43Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:44Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:45Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:46Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:47Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:48Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:49Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:50Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:51Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:52Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:53Z] Copying disk 1, Completed: 6%
[2025-06-19T02:42:54Z] Copying disk 1, Completed: 6%
