[2025-06-19T01:27:20Z] -----	 Migration started at 2025-06-19T01:27:20Z for VM ftpeps.alm.mentorg.com -----
[2025-06-19T01:27:20Z] Running in pod
[2025-06-19T01:27:22Z] Connected to vCenter: ALM-VC-01.alm.mentorg.com

[2025-06-19T01:27:24Z] Connected to OpenStack
[2025-06-19T01:27:24Z] VCenter Thumbprint: ee:da:39:bb:b1:83:79:aa:f3:b1:7c:7b:2d:51:45:a4:93:ec:b6:a6

[2025-06-19T01:27:24Z] Creating volumes in OpenStack
[2025-06-19T02:36:07Z] Copying disk 1, Completed: 24%
[2025-06-19T02:36:09Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:10Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:12Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:14Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:16Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:18Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:20Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:22Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:24Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:46Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:48Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:50Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:52Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:53Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:55Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:57Z] Copying disk 1, Completed: 25%
[2025-06-19T02:36:59Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:01Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:03Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:05Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:07Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:09Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:10Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:12Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:14Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:16Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:18Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:19Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:21Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:23Z] Copying disk 1, Completed: 25%
[2025-06-19T02:37:25Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:08Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:10Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:11Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:13Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:15Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:17Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:19Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:21Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:23Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:25Z] Copying disk 1, Completed: 25%
[2025-06-19T02:38:26Z] Copying disk 1, Completed: 25%
[2025-06-19T02:39:52Z] Copying disk 1, Completed: 26%
[2025-06-19T02:39:54Z] Copying disk 1, Completed: 26%
[2025-06-19T02:39:56Z] Copying disk 1, Completed: 26%
[2025-06-19T02:39:58Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:00Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:02Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:04Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:05Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:07Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:09Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:11Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:55Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:57Z] Copying disk 1, Completed: 26%
[2025-06-19T02:40:58Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:00Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:02Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:04Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:06Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:08Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:10Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:11Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:13Z] Copying disk 1, Completed: 26%
[2025-06-19T02:41:56Z] Copying disk 1, Completed: 27%
[2025-06-19T02:41:58Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:00Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:02Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:04Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:06Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:08Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:09Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:11Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:13Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:15Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:37Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:39Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:41Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:43Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:45Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:46Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:48Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:50Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:52Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:54Z] Copying disk 1, Completed: 27%
[2025-06-19T02:42:56Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:00Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:02Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:03Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:05Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:07Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:09Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:11Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:13Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:14Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:16Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:18Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:20Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:22Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:24Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:26Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:28Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:29Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:31Z] Copying disk 1, Completed: 27%
[2025-06-19T02:43:33Z] Copying disk 1, Completed: 27%
